Event,Link,Price
4 en 5 november 2019: Voorronde Dutch Brewers Cup Championship 2020,https://www.eventbrite.nl/e/tickets-4-en-5-november-2019-voorronde-dutch-brewers-cup-championship-2020-62776729889?aff=ebdssbdestsearch,€ 15
WaterCampus Business Café – Zichtbaar in de media,https://www.eventbrite.nl/e/tickets-watercampus-business-cafe-zichtbaar-in-de-media-64297045193?aff=ebdssbdestsearch,€ 30 – € 60
Workshop 4 Ouderschap in tijden van hoog conflict scheiding,https://www.eventbrite.nl/e/tickets-workshop-4-ouderschap-in-tijden-van-hoog-conflict-scheiding-62255581119?aff=ebdssbdestsearch,€ 50
2019 Tweede editie fotografen bijeenkomst - Deventer,https://www.eventbrite.com/e/2019-tweede-editie-fotografen-bijeenkomst-deventer-tickets-51746904384?aff=ebdssbdestsearch,€12.10 – €30.25
BENG en nZEB-tool geanalyseerd en vergeleken - deel 1,https://www.eventbrite.nl/e/tickets-beng-en-nzeb-tool-geanalyseerd-en-vergeleken-deel-1-64602690386?aff=ebdssbdestsearch,"€ 0 – € 32,66"
Excursie Eindhoven Strijp,https://www.eventbrite.nl/e/tickets-excursie-eindhoven-strijp-64784588448?aff=ebdssbdestsearch,€ 25
YZ Influencer Summit [Brands meet Influencers],https://www.eventbrite.com/e/yz-influencer-summit-brands-meet-influencers-tickets-66327769143?aff=ebdssbdestsearch,€126.53 – €898.80
Data Knows Better: A beginners guide to machine learning,https://www.eventbrite.com/e/data-knows-better-a-beginners-guide-to-machine-learning-tickets-66675519273?aff=ebdssbdestsearch,Free
Pensioen Forum | 24 september 2019 | Utrecht,https://www.eventbrite.nl/e/tickets-pensioen-forum-24-september-2019-utrecht-57783422773?aff=ebdssbdestsearch,NaN
6th UBC Symposium: Bioinformatics 4 Life,https://www.eventbrite.nl/e/6th-ubc-symposium-bioinformatics-4-life-tickets-60401470424?aff=ebdssbdestsearch,Free
Online Radio Awards / Online Radio Day 2019,https://www.eventbrite.com/e/tickets-online-radio-awards-online-radio-day-2019-57598175694?aff=ebdssbdestsearch,Gratis
Digital Wednesday - Fake news,https://www.eventbrite.nl/e/tickets-digital-wednesday-fake-news-67418038167?aff=ebdssbdestsearch,Gratis
Presentation by Linda Kohanov: The Heart of Evolution,https://www.eventbrite.nl/e/tickets-presentation-by-linda-kohanov-the-heart-of-evolution-64136144936?aff=ebdssbdestsearch,€ 47
SUMMER WORKSHOP: The Customer Journey Revolution,https://www.eventbrite.com/e/summer-workshop-the-customer-journey-revolution-tickets-64223787076?aff=ebdssbdestsearch,Free
WWJB Themadag 2019 - The Beautiful Exchange,https://www.eventbrite.nl/e/tickets-wwjb-themadag-2019-the-beautiful-exchange-63335333688?aff=ebdssbdestsearch,€ 25
