Event,Link,Price
THE OSMONDS BROTHERS ON TOUR,https://www.eventbrite.nl/e/tickets-the-osmonds-brothers-on-tour-54239368411?aff=ebdssbdestsearch,"€ 31,69"
Inspiratiedag vo 2019 | De kunsten als leeromgeving,https://www.eventbrite.nl/e/tickets-inspiratiedag-vo-2019-de-kunsten-als-leeromgeving-62972968845?aff=ebdssbdestsearch,"€ 27,50 – € 190"
Mega Teenage Party! met STUK,https://www.eventbrite.nl/e/tickets-mega-teenage-party-met-stuk-65421723135?aff=ebdssbdestsearch,"€ 11,08"
GDPR and CTR Interplay. One Year Later. Understandings and Questionings.,https://www.eventbrite.com/e/gdpr-and-ctr-interplay-one-year-later-understandings-and-questionings-registration-63417902654?aff=ebdssbdestsearch,€90
Stekjesworkshop in Dille & Kamille Groningen 15:00-17:00 uur,https://www.eventbrite.nl/e/tickets-stekjesworkshop-in-dille-kamille-groningen-1500-1700-uur-64316345922?aff=ebdssbdestsearch,€ 35
"Automation, Builds & Containers for DevOps",https://www.eventbrite.nl/e/tickets-automation-builds-containers-for-devops-61948303042?aff=ebdssbdestsearch,"€ 378,72"
De Zaak op Orde 2019,https://www.eventbrite.nl/e/tickets-de-zaak-op-orde-2019-57380753378?aff=ebdssbdestsearch,"€ 201,47 – € 272,25"
"Nabij de dood, concert met lezing van Pim van Lommel",https://www.eventbrite.nl/e/tickets-nabij-de-dood-concert-met-lezing-van-pim-van-lommel-61787063771?aff=ebdssbdestsearch,€ 15
DATA WORKSHOP - Computer Vision Demystified: a hands on workshop by Microsoft,https://www.eventbrite.com/e/data-workshop-computer-vision-demystified-a-hands-on-workshop-by-microsoft-tickets-65667407985?aff=ebdssbdestsearch,Free
Architectuur rondleiding,https://www.eventbrite.nl/e/tickets-architectuur-rondleiding-61993780065?aff=ebdssbdestsearch,"€ 8,50"
Training 'Nieuws maken met de smartphone',https://www.eventbrite.nl/e/registratie-training-nieuws-maken-met-de-smartphone-28333389932?aff=ebdssbdestsearch,"€ 695,75"
Masterclass leergroei in beeld,https://www.eventbrite.nl/e/tickets-masterclass-leergroei-in-beeld-61986506309?aff=ebdssbdestsearch,"€ 473,10 – € 605"
Galileo workshop status en toepassingen,https://www.eventbrite.nl/e/tickets-galileo-workshop-status-en-toepassingen-58862066024?aff=ebdssbdestsearch,NaN
Stekjes Workshop in Kas Keerweer Amsterdam 12:00-14:00 uur,https://www.eventbrite.nl/e/tickets-stekjes-workshop-in-kas-keerweer-amsterdam-1200-1400-uur-64316754143?aff=ebdssbdestsearch,€ 35
Stekjes Workshop in Kas Keerweer Amsterdam 12:00-14:00 uur,https://www.eventbrite.nl/e/tickets-stekjes-workshop-in-kas-keerweer-amsterdam-1200-1400-uur-64316934683?aff=ebdssbdestsearch,€ 35
Stekjesworkshop in Dille & Kamille Arnhem 14:30-16:30 uur,https://www.eventbrite.nl/e/tickets-stekjesworkshop-in-dille-kamille-arnhem-1430-1630-uur-65641097289?aff=ebdssbdestsearch,€ 35
PASAR MALAM AZIË in Enschede,https://www.eventbrite.nl/e/tickets-pasar-malam-azie-in-enschede-59645366898?aff=ebdssbdestsearch,"€ 5,50 – € 17,50"
Bruuzer RIB Experience,https://www.eventbrite.nl/e/tickets-bruuzer-rib-experience-58983635642?aff=ebdssbdestsearch,"€ 40,76"
Atlas / Hertoghs Networking Event,https://www.eventbrite.co.uk/e/atlas-hertoghs-networking-event-registration-65059516766?aff=ebdssbdestsearch,Free
The Importance of Being Earnest - Sat 9 Nov,https://www.eventbrite.nl/e/the-importance-of-being-earnest-sat-9-nov-tickets-59046278007?aff=ebdssbdestsearch,€32.65
THE OSMONDS BROTHERS ON TOUR,https://www.eventbrite.nl/e/tickets-the-osmonds-brothers-on-tour-54239368411?aff=ebdssbdestsearch,"€ 31,69"
Inspiratiedag vo 2019 | De kunsten als leeromgeving,https://www.eventbrite.nl/e/tickets-inspiratiedag-vo-2019-de-kunsten-als-leeromgeving-62972968845?aff=ebdssbdestsearch,"€ 27,50 – € 190"
Mega Teenage Party! met STUK,https://www.eventbrite.nl/e/tickets-mega-teenage-party-met-stuk-65421723135?aff=ebdssbdestsearch,"€ 11,08"
GDPR and CTR Interplay. One Year Later. Understandings and Questionings.,https://www.eventbrite.com/e/gdpr-and-ctr-interplay-one-year-later-understandings-and-questionings-registration-63417902654?aff=ebdssbdestsearch,€90
Stekjesworkshop in Dille & Kamille Groningen 15:00-17:00 uur,https://www.eventbrite.nl/e/tickets-stekjesworkshop-in-dille-kamille-groningen-1500-1700-uur-64316345922?aff=ebdssbdestsearch,€ 35
"Automation, Builds & Containers for DevOps",https://www.eventbrite.nl/e/tickets-automation-builds-containers-for-devops-61948303042?aff=ebdssbdestsearch,"€ 378,72"
De Zaak op Orde 2019,https://www.eventbrite.nl/e/tickets-de-zaak-op-orde-2019-57380753378?aff=ebdssbdestsearch,"€ 201,47 – € 272,25"
"Nabij de dood, concert met lezing van Pim van Lommel",https://www.eventbrite.nl/e/tickets-nabij-de-dood-concert-met-lezing-van-pim-van-lommel-61787063771?aff=ebdssbdestsearch,€ 15
